book_id	book_title	number	headword	native_definition_en	japanese_meaning	etymology	example_B_en	example_B_ja	example_C_en	example_C_ja	example_D_en	example_D_ja
dist1	Distinction I	11	overpaid	To be more than an ample reward for.	～にとって十分な報酬以上のものとなるために		Many people think that actors are overpaid.	多くの人は俳優は給料が高すぎると考えています。	Baseball players are overpaid aren't they?	野球選手って給料高すぎない？	Pay too much.	払いすぎる
dist1	Distinction I	12	better off	"Used in contexts such as: ""You're better off starting from the beginning than trying to find out where you went wrong.""."	「どこで間違ったのかを探すよりも、最初から始めたほうが良いです。」などの文脈で使用されます。		You're better off starting from the beginning than trying to find out where you went wrong.	どこが間違っていたのかを探すよりも、最初からやり直す方が良いでしょう。	The teamless better off without their coach.	チームのない人はコーチがいないほうが良い。	Be in a more favorable situation or position.	より有利な状況または立場にあること
dist1	Distinction I	13	grab sth	"Used in contexts such as: ""I'm going downstairs to grab some food for lunch.""."	「昼食のために食べ物を買いに階下に行くつもりです」などの文脈で使用されます。	「つかむ」を中心とした慣用表現。	I'm going downstairs to grab some food for lunch.	昼食の食べ物を買いに階下に行きます。	Can you please grab a coffee for me while you're out?	外出中にコーヒーを買ってきてくれませんか？	obtain something	何かを得るために
dist1	Distinction I	14	take sth out of context	"Used in contexts such as: ""Humor plays an important role. However, in a media interview, it can easily be taken out of context.""."	「ユーモアは重要な役割を果たします。しかし、メディアのインタビューでは、ユーモアは簡単に文脈から外されてしまう可能性があります。」などの文脈で使用されます。	「文脈」を中心に構築された慣用表現。	Humor plays an important role. However, in a media interview, it can easily be taken out of context.	ユーモアは重要な役割を果たします。しかし、メディアのインタビューでは、文脈から逸脱してしまいがちです。	It's best to avoid joking comments as they might be taken out of context.	冗談のコメントは文脈を無視して受け取られる可能性があるため、避けるのが最善です。	Misrepresent the meaning of something by amating the circumstances of it.	何かの状況を奇妙にすることによって、何かの意味を誤って伝えること
dist1	Distinction I	15	freebie	a giveaway or handout.	プレゼントまたは配布物		This done it was a freebie from the supermarket down the street.	これは、通りの先にあるスーパーマーケットからの景品でした。	I got a freebie from the website for completing their survey.	アンケートに回答すると、Web サイトから景品を受け取りました。	Something provided free of charge.	無料で提供されるものに対して
dist1	Distinction I	16	clear-cut	Straightforward, obvious, simple, or basic.	単純、明白、単純、または基本的なもの		Patrick's instructions were very clear cut.	パトリックの指示は非常に明確でした。	They don't have a clear cut strategy in place.	彼らは明確な戦略を持っていません。	Well defined.	明確に定義された
dist1	Distinction I	17	cut sb off	To stop providing something or disconnect.	何かの提供を停止したり切断したりすること	「カット」を中心とした慣用表現。	Sorry to cut you off, but I have a question about that last point you made.	話を中断して申し訳ありませんが、あなたが最後に述べた点について質問があります。	My best job in RV advice is to never cut off your inner viewer.	RV に関するアドバイスにおける私の最善の仕事は、自分の内なる視聴者を決して遮断しないことです。	Interrupt and stop somebody from talking.	誰かの話を中断して止めること
dist1	Distinction I	18	gray area	"Used in contexts such as: ""How much we're allowed to spend on accommodation is a bit of a gray area as there's no company policy governing spending.""."	「宿泊費を管理する会社の方針がないため、宿泊費にどれくらいの費用を費やすことができるかは、少し曖昧な領域です。」などの文脈で使用されます。	「灰色」を中心とした慣用的な表現。	How much we're allowed to spend on accommodation is a bit of a gray area as there's no company policy governing spending.	支出を管理する会社のポリシーがないため、宿泊費にどれくらいの支出が許可されるかについては、少し曖昧な部分があります。	There's a substantial amount of gray area between what is legal and what is not.	合法なものと違法なものの間には、かなりのグレーゾーンがあります。	Borley and Big Uus area.	ボーリーとビッグウスエリアへ
dist1	Distinction I	19	fiddly	(by extension) Having many small bits or embellishments.	(拡張子として) 小さな小物や装飾がたくさんあること		It always requires a 6-digit SMS code just to log in. Very fittyly.	ログインするには常に 6 桁の SMS コードが必要です。非常に適切です。	The camera of the smartphone is a bit fiddly. The slightest hand movement causes severe blurring.	スマホのカメラはちょっと扱いにくいです。ほんのわずかな手の動きで大きなブレが発生します。	Detailed and awkward to use.	細かくて使いにくい
dist1	Distinction I	20	crystal-clear	Visually clear, a sharp image, high acuity.	視覚的に鮮明、鮮明な画像、高感度		My boss was crystal clear about what we should do next.	私の上司は、私たちが次に何をすべきかについて非常に明確でした。	It's crystal clear that James is going to be late to the party.	ジェームズがパーティーに遅刻するのは明らかだ。	I'll end big U.S.	大きなアメリカを終わらせてやる
dist1	Distinction I	21	downtime	The amount of time lost due to forces beyond one's control, as with a computer crash.	コンピューターのクラッシュなど、自分では制御できない力によって失われた時間		In my downtime, I enjoy taking my daughter to parks.	休み時間には、娘を公園に連れて行くのが楽しみです。	I'm having some downtime tonight.	今夜は少し休みを取ります。	Period of leisure or relaxation.	レジャーやリラクゼーションの時間に
dist1	Distinction I	22	check sth out	To look at or investigate something.	何かを見たり調べたりすること	「チェック」を中心とした慣用的な表現。	For more pictures, please check out our Instagram.	他の写真については、インスタグラムをご覧ください。	I'm gonna check out the new bar on Saturday.	土曜日に新しいバーをチェックするつもりです。	Examine something or visit a place to learn about it.	何かを調べたり、それについて学ぶために場所を訪れたりすること
dist1	Distinction I	23	get it	To receive a negative thing: to receive punishment; to receive a retaliation; to receive a beating; to get what's coming to one; to feel someone's wrath. Synonyms: catch it, cop it, catch hell.	誰かの怒りを感じること。同義語: 捕まえる、捕まえる、地獄を捕まえる	から、したがって と同族です。 Leer (1980) によると、語根の本来の意味はおそらく「非晶質物質 (煙など) が移動する」ということだったそうです。	Don't worry, I get it.	心配しないでください、分かりました。	After we explain the concept for half an hour, I finally got it.	30分ほどコンセプトを説明して、ようやく理解できました。	Understand.	理解する
dist1	Distinction I	24	hold sth/sb up	To delay or rob.	遅らせたり、強奪したりする	「ホールド」を中心とした慣用表現。	The train was held at because of the railroad accident.	鉄道事故のため列車は停車した。	Sorry for holding up from going home.	帰るのを我慢してごめんなさい。	Delay or stop something or somebody.	何かまたは誰かを遅らせたり止めたりすること
dist1	Distinction I	25	legit	A legitimate child.	嫡出の子		To this website, look legit to you.	このウェブサイトでは、あなたにとっては合法的なものだと思われます。	I can tell the chef at this French restaurant is legit because he only speaks French.	このフランス料理レストランのシェフはフランス語しか話せないので、本物だとわかります。	proper	適切に
dist1	Distinction I	26	catch up		追いつく		Let's catch up over coffee tomorrow.	明日はコーヒーを飲みながら近況を報告しましょう。	I miss you so much. I really want to catch up with you.	私はあなたがいなくて寂しいです。本当に追いつきたいです。	Meet up to update each other.	会ってお互いの最新情報を交換しましょう。
dist1	Distinction I	27	hyped		誇大宣伝した		I'm very hyped for the new movie coming out tomorrow.	明日公開される新しい映画にとても興奮しています。	I'm feeling really hyped about this new restaurant.	この新しいレストランに本当に興奮しています。	Very excited	とても興奮しています
dist1	Distinction I	28	attention-seeking		注目を集める		Driving around in a gold car is a bit attention-seeking, isn't it?	ゴールドの車で走り回るのは、ちょっと目立ちますよね。	Nursesists are often attention-seeking.	看護師は注目を集めることが多いです。	Deliberately behaving in a way to attract attention.	注目を集めるために意図的に行動すること。
dist1	Distinction I	29	gonna do		やります		I'm gonna find another person to help us out.	私たちを助けてくれる別の人を探すつもりです。	I'm gonna go home now.	もう家に帰ります。	Going to do.	やる予定です。
dist1	Distinction I	30	get into sth		STHに入る		I want to ask you how you got into whiskey. Did you have a light bulb moment?	ウィスキーを始めたきっかけを聞きたいです。電球がついた瞬間はありましたか？	I find it hard to get into history no matter how hard I try. It's so boring.	どんなに努力しても歴史に触れるのは難しいと思います。とても退屈です。	Become interested in something.	何かに興味を持ちましょう。
dist1	Distinction I	31	have butteflies in one/s stomach		お腹の中に蝶がいる		I couldn't speak properly because I had butterflies in my stomach.	お腹の中に蝶がいたので、まともに話すことができませんでした。	My date didn't go too well because I had butterflies in my stomach.	お腹の中に蝶がいたので、デートはあまりうまくいきませんでした。	Feel nervous.	緊張してしまいます。
dist1	Distinction I	32	cut corners		角を切る		He said, don't spend too much time on this, but you shouldn't cut corners. How would that be possible?	彼は、これにあまり時間をかけないでください、しかし手を抜いてはいけません、と言いました。どうしてそんなことが可能になるのでしょうか？	If you want to be more efficient, it's important to find where you can cut corners.	効率を上げたいのであれば、どこで手を抜かれるかを見つけることが重要です。	Take shortcuts.	ショートカットをしてください。
dist1	Distinction I	33	pretty much		かなり		2 plus 2 is pretty much 5 isn't it?	2プラス2はほぼ5ですよね？	I've given you pretty much all the money in my wallet.	財布の中のお金をほとんどすべてあなたに渡しました。	Almost.	ほとんど。
dist1	Distinction I	34	big deal		大したこと		The new legislation is a big deal, as it will fundamentally change the way we do business.	新しい法律は私たちのビジネスのやり方を根本的に変えるものであり、大きな問題です。	Chill out, it's not a big deal.	落ち着いてください、それは大したことではありません。	Very important thing.	とても大切なこと。
dist1	Distinction I	35	get the ball rolling		ボールを転がす		My best day and I have decided to work together on a creative project. We'll share more details once we get the ball rolling.	私の最高の日、私は創造的なプロジェクトに一緒に取り組むことに決めました。ボールが動き始めたら、詳細を共有します。	I'm gonna get the ball rolling on our wedding planning by booking the venue tomorrow.	明日会場を予約して、結婚式の計画を開始するつもりです。	Here we go.	さぁ行こう。
dist1	Distinction I	36	spot sth/sb		スポット sth/sb		Can you spot that bird in the sky?	空にいるあの鳥を見つけられますか？	I spotted Toby on the train this morning.	今朝、電車の中でトビーを見つけました。	See something or somebody.	何かまたは誰かを見てください。
dist1	Distinction I	37	on the dot		点の上に		In Japan, trains leave on the dot and arrive on the dot as well.	日本では、電車は点で出発し、点で到着します。	Let's meet up at 6 o'clock on the diet.	ダイエット中は6時に集合しましょう。	Exactly.	その通り。
dist1	Distinction I	38	bring sth up		sthを起動します		The comma you made is really spot on. I'm glad you brought that up.	あなたが付けたコンマは本当に正確です。それを取り上げてくれて嬉しいです。	You don't want to talk about it. You brought it up, didn't you?	それについては話したくないでしょう。それを持ち出したのはあなたですよね？	Raise something.	何かを上げてください。
dist1	Distinction I	39	pricey		高価な		Plights to ball-yet this time of the year are pretty pricey.	舞踏会の窮状ですが、この時期はかなり高価です。	Pooodet the concert is pretty pricey. Should we eat before we go?	プーデットのコンサートはかなり高価です。行く前に食べたほうがいいでしょうか？	Expensive	高い
dist1	Distinction I	40	touchy subject		デリケートな話題		His downdabs and thron the wedding is a touchy subject.	彼の軽蔑と結婚式への執着はデリケートな話題だ。	And he's lack of money right now as a touchy subject.	そして、彼は今、お金が足りないというデリケートな問題も抱えている。	sensitive topic	デリケートな話題
dist1	Distinction I	41	one-off		一回限りの		The expense incurred this here to construct the building as a one-off cost.	こちらは建物を建設するために一時的に発生した費用です。	Employees will receive a 1-off bonus payment of $800. Thanks to the brighter business outlook.	従業員は 1 回限りのボーナスとして 800 ドルを受け取ります。ビジネスの見通しが明るくなったおかげです。	Non-recurring.	非再発。
dist1	Distinction I	42	bug sb		バグサブ		Anthony, I'm sorry to bug you, but I really need your help with something.	アンソニー、ご迷惑をおかけして申し訳ありませんが、どうしても助けていただきたいことがあります。	Don't bug me, I really need a concentrate.	心配しないでください、本当に濃縮物が必要なのです。	I know it's somebody.	誰かだとわかっています。
dist1	Distinction I	43	rusty		錆びた		As I haven't played tennis for a while, I'm pretty rusty.	しばらくテニスをしていないので、かなり錆びています。	Katherine moved from Spain to America a few years ago, so her Spanish is a bit rusty.	キャサリンは数年前にスペインからアメリカに引っ越してきたので、スペイン語が少しなびいています。	Not as good as somebody or something was.	誰かや何かほど良くはありませんでした。
dist1	Distinction I	44	bright and early		明るくて早い		The store opens at 8am tomorrow so you can get your hands on the product right and early.	明日は朝8時に開店しますので、早めに商品を手に入れることができます。	As I wanted to get a few things done before work, I had breakfast bright in early today.	仕事の前にいくつかのことを済ませたかったので、今日は早めに朝食を食べました。	Very early in the day.	一日の早いうちに。
dist1	Distinction I	45	give sb a buzz		SBに知らせてください		Give me a buzz when you're close to the restaurant.	レストランに近づいたら、知らせてください。	I'll give you a buzz when I get there tomorrow.	明日そこに着いたらお知らせします。	Give somebody a call.	誰かに電話してください。
dist1	Distinction I	46	work on sth		sthで作業する		I need to work on being more punctual.	もっと時間厳守に取り組む必要があります。	The player's technique is good, but he needs to work on his stamina.	その選手のテクニックは優れているが、スタミナを強化する必要がある。	Improve on something.	何かを改善します。
dist1	Distinction I	47	in-your-face		目の前で		I hate the In Your Face and to its smoking campaign.	私は In Your Face とその喫煙キャンペーンが大嫌いです。	Chelsea's fashion sense is very in your face.	チェルシーのファッションセンスはあなたの顔にとても現れています。	Aggressive, bold.	アグレッシブ、大胆。
dist1	Distinction I	48	come clean		きれいになって		I'll come clean and admit that I haven't done my homework. I'm sorry.	宿題をしていないことを白状して認めます。ごめんなさい。	Let's all come clean and discuss why we're not on track to meet the deadline.	みんなで白状して、なぜ期限に間に合わないのか話し合いましょう。	Be completely honest.	完全に正直になってください。
dist1	Distinction I	49	downer		ダウナー		The news is a bit of a downer.	そのニュースは少し憂鬱だ。	Stop being such a downer. Not everything in the support is bad.	そんなダウナーになるのはやめてください。サポートのすべてが悪いわけではありません。	Something or somebody that makes you unhappy.	あなたを不幸にする何かまたは誰か。
dist1	Distinction I	50	packed		詰め込まれた		The night club gets packed around 1am.	ナイトクラブは午前1時頃には満員になります。	He just kind of boiled taking a packed train in Japan.	彼は日本で満員電車に乗ってちょっとイライラしただけだった。	Very crowded.	とても混雑しています。
dist1	Distinction I	51	bail sb out		SBを救済する		You can expect your parents to belly you out of trouble all the time.	両親があなたをいつも困らせて怒らせることは予想できます。	My car's broken down in the middle of the desert. Can he please bail me out?	私の車は砂漠の真ん中で故障してしまいました。彼は私を保釈してもらえますか？	Rasky, somebody.	ラスキー、誰か。
dist1	Distinction I	52	get one/s head around sth		頭の周りを一周する		I'm gonna need a few minutes to get my head around the diagram you just showed me.	先ほど見せていただいた図を理解するのに数分かかります。	Rick struggling to get us head around this new program.	リックは私たちにこの新しいプログラムを理解してもらうのに苦労しています。	Understand something.	何かを理解してください。
dist1	Distinction I	53	cut to the chase		本題に入る		Since we've only got a 5 minutes, I'm going to cut to the chase.	5分しかないので本題に入ります。	Let's quickly cut to the chase so that the audience doesn't get bored.	視聴者を飽きさせないように、すぐに本題に入りましょう。	Get to the point.	本題に入ります。
dist1	Distinction I	54	flag sth		フラグ sth		There's a mistake in this report. Let's flag it in the meeting.	この報告書には間違いがあります。会議でフラグを立てましょう。	I don't want to go through the whole thing, but I wanted to flag a few key findings.	すべてを詳しく説明するつもりはありませんが、重要な発見をいくつか挙げておきたいと思います。	Draw attention to something.	何かに注意を向けます。
dist1	Distinction I	55	old-school		昔ながらの		This song is so old school.	この曲はとてもオールドスクールです。	I was playing some old school NES games today and I actually thought they're better than a lot of games today.	今日私は昔ながらの NES ゲームをいくつかプレイしていましたが、実際のところ、今日の多くのゲームよりも優れていると思いました。	Old Fashioned	昔ながらの
dist1	Distinction I	56	get one/s hopes up		希望を持ってください		Don't get your hopes up because you might not actually get promoted.	実際に昇進できない可能性もあるので、期待しないでください。	I got my hopes up for nothing.	私は何の期待も持たなかった。	Get excited about the prospect of something positive.	何かポジティブなことが起こる可能性に興奮しましょう。
dist1	Distinction I	57	behind sb/s back		SB/Sバックの後ろ		Blitty hired a new employee behind my back.	ブリッティは私の陰で新しい従業員を雇いました。	He's so angry because this wife put a new car behind his back	この妻が新しい車を後ろに置いたので、彼はとても怒っています	Without somebody's knowledge.	誰かに知られずに。
dist1	Distinction I	58	get back to sb		SBに戻ります		I'll get back to you once I figure that out.	それがわかりましたら、折り返しご連絡させていただきます。	I'm not sure if I can come to the movie tomorrow so I'll get back to you on that	明日映画に行けるかどうか分からないので、また連絡します	Talk to somebody again.	もう一度誰かに話してください。
dist1	Distinction I	59	freak (sb) out		フリークアウト（sb）		Don't freak me out	私を驚かせないでください	Mike freaks out when he sees the spider.	マイクはクモを見てびっくりします。	Panic somebody.	誰かパニックにしてください。
dist1	Distinction I	60	put sth together		sthをまとめる		I'm putting together a photo album of all my nieces baby photos.	姪たちの赤ちゃんの写真をアルバムにまとめています。	Luke's putting together the itinerary for the holiday.	ルークは休暇の旅程をまとめています。	A symbol something.	何かの象徴。
dist1	Distinction I	61	sounds like a plan		計画のように聞こえます		Sleeping all day sounds like a plan.	一日中寝るというのは計画のように思えます。	Enjoying a nice class of line at the rooftop bar sounds like a plan. Give me the details.	屋上のバーで素敵なクラスを楽しむなんて計画は良さそうですね。詳細を教えてください。	Sounds like a good idea	良いアイデアですね
dist1	Distinction I	62	drop sth/sb off		sth/sbをドロップオフ		On their way to work, can you please drop the kids off at school?	仕事に行く途中、子供たちを学校まで降ろしてもらえますか？	The company is in the process of expanding its capacity to drop off packages at customers' homes.	同社は顧客の自宅に荷物を届ける能力を拡大中だ。	Deliver something or somebody.	何かまたは誰かを届けます。
dist1	Distinction I	63	attention to detail		細部へのこだわり		Japanese people's attention to details just incredible.	日本人の細部へのこだわりは本当にすごいです。	He needs to work on his attention to detail.	彼は細部への注意力を高める必要がある。	Ability to be thorough and accurate.	徹底して正確に行う能力。
dist1	Distinction I	64	sick of		うんざりしている		I'm sick of eating apples. I want to eat something different.	リンゴを食べるのは飽きた。何か違うものが食べたいです。	I'm sick of your negative attitude.	あなたの否定的な態度にはうんざりしています。	Board of.	のボード。
dist1	Distinction I	65	white noise		ホワイトノイズ		Tony was struggling to concentrate on the important points as there was a lot of white noise.	ホワイトノイズが多かったので、トニーは重要なポイントに集中するのに苦労していました。	The report had a lot of white noise in it, making it difficult to work out the main points.	レポートにはホワイトノイズが多く含まれており、要点を理解するのが困難でした。	Background information or unnecessary information.	背景情報や不要な情報。
dist1	Distinction I	66	tricky		トリッキー		Surfing can be tricky until you've practiced a few times.	サーフィンは何度か練習するまでは難しいかもしれません。	That golf course is a bit tricky if you haven't played them before.	そのゴルフコースは、プレーしたことがない人にとっては少し難しいです。	Difficult or complex.	難しいというか複雑。
dist1	Distinction I	67	slammed		叩きつけられた		I haven't seen Emma for a while, as she's been slammed at work.	エマは仕事で非難されているので、しばらく会っていません。	Actually, I can't go after all. I'm slammed with homework.	実は、結局行けないんです。宿題に追われています。	Extremely busy	非常に忙しい
dist1	Distinction I	68	in a rush		急いで		I'm in a rush right now so can we talk about it later?	今急いでるので後で話してもいいですか？	He always seems to be in a rush.	彼はいつも急いでいるように見える。	in a hurry	急いで
dist1	Distinction I	69	nice-to-have		あったら嬉しい		A swimming pool in the backyard is a nice to have.	裏庭にプールがあるのは嬉しいですね。	Let's decide what items are must-apps and nice to have on our wish list.	どのアイテムが必須アプリで、ウィッシュリストに入れておくと便利なものを決めましょう。	Positive but non-essential thing.	ポジティブだけど本質的ではないこと。
dist1	Distinction I	70	tell me about it		それについて教えてください		"She said, ""'Care to the worst,' saw I said, ""'Tell me about it.'"""	彼女は、「『最悪の事態に気をつけて』と私が言ったのを見て、『それについて話してください』と言いました。」	He complained that the traffic was awful, so I was like, tell me about it.	彼は渋滞がひどいと文句を言ったので、私はそれについて教えてくださいと言いました。	I totally agree.	私も全く同感です。
dist1	Distinction I	71	take it easy		落ち着いて		I'm gonna take it easy this weekend as this week's been pretty busy.	今週は忙しかったので週末はゆっくりします。	Take it easy, everything will be fine.	ゆっくりしてください、すべてうまくいきます。	Relax.	リラックス。
dist1	Distinction I	72	wing it		それを翼にする		I don't know where we're going for dinner tonight, but let's just start driving and wing it.	今夜の夕食をどこに行くかは分かりませんが、とにかく運転を始めて、出発しましょう。	You want to have something to say confidently in your interview, right? So don't just wing it.	面接では自信を持って言えることを言いたいですよね？だから、ただ羽目を外さないでください。	Improvise	即興演奏
dist1	Distinction I	73	turn sth/sb down		sth/sbを下げる		Emily turned down the job offer.	エミリーは仕事のオファーを断った。	I was really full, but it's hard to turn down food that my girlfriend makes for me, isn't it?	お腹はいっぱいだったけど、彼女が作ってくれた料理は断りにくいですよね。	Reject something or somebody.	何かまたは誰かを拒否します。
dist1	Distinction I	74	keep one/s cool		涼しく保つ		I need to keep my cool to work through this problem methodically.	この問題を系統的に解決するには、冷静さを保つ必要があります。	He keeps his cool no matter how stressed he gets.	彼はどんなにストレスを感じても冷静さを保っている。	Stay calm.	落ち着いてください。
dist1	Distinction I	75	sort of/kind of		ある種の/一種の		Do I like driving? Sort of.	私は運転が好きですか？ある意味。	That suit is kind of blue, but it has a lot of different colored stripes as well.	そのスーツは青っぽいですが、さまざまな色の縞模様もたくさんあります。	Not fully.	完全ではありません。
dist1	Distinction I	76	fill in for sb		SBを埋める		I'm filling in for a see this week as she's on holidays.	今週彼女が休暇を取っているので、私は診察の予約を入れています。	Daniel's gonna be filling in for Kevin Ways in the hospital.	ダニエルは入院中のケビン・ウェイズの代わりをするつもりだ。	temporarily replace somebody.	一時的に誰かに代わってください。
dist1	Distinction I	77	help sb out		SBを助けてください		If I were really short on money, I think my parents would help me out.	本当にお金に困っていたら、両親が助けてくれると思います。	Are you able to help Matthew out with fixing his card tonight?	今夜マシューのカードを直すのを手伝ってもらえますか？	Assist somebody.	誰かを助けてください。
dist1	Distinction I	78	make sure (that)		(それを)確認してください		Please make sure you double check spelling before you submit it for a review.	レビューのために送信する前に、スペルを再確認してください。	Can you please make sure that he knows we are working off site tomorrow?	明日は私たちが現場外で仕事をしていることを彼に知らせてもらえますか?	Ensure that	それを確認してください
dist1	Distinction I	79	keep one/s voice down		声を低くしてください		We should keep our voices down in the library as people are trying to concentrate on their studies.	人々は勉強に集中しようとしているので、図書館では声を抑えるべきです。	Can you please keep your voice down?	声を抑えてもらえますか？	Be quiet	静かに
dist1	Distinction I	80	FYI		参考までに		This is an FYI, I'm gonna be working off site tomorrow.	参考までに、明日はオフサイトで仕事をする予定です。	Just an FYI, people are getting sick of this kind of meme.	参考までに、人々はこの種のミームにうんざりしています。	Just to let you know.	お知らせします。
dist1	Distinction I	81	chill		チル		What is the most chill part-time job?	一番寒いアルバイトは何ですか？	The manager of the job is real chill.	職場のマネージャーは本当に冷たいです。	Relaxed.	リラックスした。
dist1	Distinction I	82	bite the bullet		弾丸を噛む		I hate the dentist, but I suppose I'll have to bite the bullet and go.	歯医者は大嫌いだけど、我慢して行かないといけないと思う。	MF finally bid the poll and got a haircut.	MFはついに投票に入札し、散髪を果たした。	Face up to it.	それに向き合ってください。
dist1	Distinction I	83	look forward to sth		楽しみにしててね		I'm looking forward to our next dinner.	次の夕食を楽しみにしています。	Are you looking forward to reading that new book?	その新しい本を読むのを楽しみにしていますか?	Eagerly anticipate something.	熱心に何かを期待します。
dist1	Distinction I	84	on the same page		同じページにある		Falling in love is fun, but it's important to make sure you're on the same page.	恋に落ちるのは楽しいことですが、お互いが同じページにいるかどうかを確認することが重要です。	Success lies in getting everyone on the same page.	成功とは、全員が同じ認識を持つことにあります。	Thinking in the same manner.	同じように考えます。
dist1	Distinction I	85	clear sth up		クリアしてください		Unfortunately, there's nothing we can do to clear up the situation.	残念ながら、この状況を解決するために私たちにできることは何もありません。	This new methodology could help clear up cross-cultural misunderstandings.	この新しい方法論は、異文化間の誤解を解くのに役立つ可能性があります。	Clareify something.	何かを明確にしてください。
dist1	Distinction I	86	shattered		粉々になった		Kristiana was shattered that his pair eyes was far less than he expected.	クリスティアナは、彼の両目が予想していたよりもはるかに小さかったことにショックを受けました。	I'm shattered that I'm gonna miss out on the functional Friday.	金曜日の予定を逃すことになると思うとショックです。	Extremely disappointed.	非常に残念です。
dist1	Distinction I	87	give credit		信用を与える		We should give credit to Josh for identifying the air.	空気を特定したジョシュの功績を称賛すべきです。	You should give your team credit for their great ideas.	チームの素晴らしいアイデアを称賛する必要があります。	Give praise.	褒めてあげましょう。
dist1	Distinction I	88	close enough		十分近い		This new laptop is not exactly perfect, but it's close enough.	この新しいラップトップは完璧というわけではありませんが、十分に近いものです。	I expected our margin to be a bit higher this year, but anyway close enough.	今年のマージンはもう少し高くなるだろうと予想していましたが、いずれにせよ十分近いものでした。	Good enough.	十分です。
dist1	Distinction I	89	lock sth down		ロックダウン		Can you please lock down the booking for dinner tonight?	今夜のディナーの予約をロックしてもらえますか？	We've got the report locked down. It's ready to submit now.	報告書は封鎖されました。これで提出する準備が整いました。	Finalize something.	何かを仕上げる。
